date,AABA,AAPL,ADBE,ADP,AMGN,AMOV,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,CELG,CHTR,CMCSA,CME,COST,CSCO,CSX,CTSH,ESRX,FB,FOX,FOXA,GILD,GOOG,GOOGL,ILMN,INTC,INTU,ISRG,KHC,MAR,MDLZ,MSFT,MU,NFLX,NVDA,PEP,PYPL,QCOM,QQQ,REGN,SBUX,TMUS,TSLA,TXN,VRTX,WBA,WDAY
2017-06-22,0,16,0,0,2,2,11,0,0,1,0,0,0,1,6,2,2,39,0,0,0,16,11,11,5,19,19,0,29,1,0,5,48,0,11,17,3,0,1,1,3,0,1,0,1,17,0,0,1,0
2017-06-23,0,7,0,1,6,0,8,1,0,0,7,0,0,0,2,4,1,28,0,0,1,25,12,12,1,14,14,0,22,0,0,4,36,0,3,11,0,1,0,0,4,0,1,0,0,11,0,0,0,0
2017-06-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23,0,0,0,1,5,4,0,1,1,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-25,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,7,4,2,0,0,0,0,7,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-26,0,26,0,0,3,0,22,0,0,2,0,0,0,0,0,1,3,38,0,0,0,29,5,5,0,34,34,1,30,0,0,4,34,1,12,7,7,0,2,1,3,0,1,0,0,4,0,0,0,0
2017-06-27,0,15,0,0,6,5,11,0,0,4,0,0,0,18,16,2,3,32,0,0,1,33,10,9,0,47,47,1,52,0,0,2,36,6,12,20,3,7,1,0,4,3,1,0,11,5,0,0,0,0
2017-06-28,0,13,0,0,0,1,17,0,0,2,0,0,0,1,2,2,0,29,0,0,0,30,1,1,0,22,22,0,34,1,0,2,36,6,16,25,6,0,0,3,1,0,0,2,0,5,0,0,4,0
2017-06-29,0,13,0,0,3,0,27,0,0,1,5,0,0,3,8,3,3,16,0,0,0,22,16,15,0,14,14,0,25,3,0,0,28,2,11,24,8,0,4,1,4,0,0,0,0,5,0,0,21,0
2017-06-30,0,4,0,0,0,0,31,1,0,2,1,0,1,2,3,1,2,26,0,0,0,21,9,9,0,8,8,0,32,1,0,3,44,0,7,17,5,2,0,0,3,0,2,1,0,4,0,0,4,0
2017-07-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,9,3,3,0,1,1,0,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2017-07-02,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,3,3,0,2,2,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-03,1,3,0,1,0,0,1,0,3,2,0,0,0,0,1,0,3,11,0,0,1,13,10,10,0,6,6,2,26,0,0,0,38,0,7,27,1,1,0,0,2,1,0,3,0,12,0,0,1,0
2017-07-04,0,18,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,15,0,0,0,12,5,5,0,12,12,0,25,0,0,5,33,0,5,27,0,0,0,2,1,0,0,5,0,5,0,0,0,0
2017-07-05,0,10,0,8,0,0,17,0,0,11,0,0,2,0,0,7,2,11,0,0,0,17,2,2,3,12,12,2,40,1,0,0,35,0,8,18,4,7,1,4,1,0,0,1,0,7,0,0,2,0
2017-07-06,0,10,0,24,0,2,16,1,0,5,0,0,6,4,3,1,10,30,0,0,0,19,9,9,0,9,9,0,28,3,2,0,33,5,9,16,1,2,0,0,6,0,0,6,3,16,0,0,0,0
2017-07-07,0,10,0,3,0,0,11,0,1,2,0,0,0,0,0,7,2,22,1,0,0,33,6,6,1,18,18,0,19,0,0,0,38,1,11,16,0,0,2,0,5,0,0,0,1,16,0,0,3,0
2017-07-08,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2017-07-09,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,7,5,0,6,6,0,11,1,0,3,1,0,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0
2017-07-10,0,19,0,0,1,0,22,0,0,1,1,0,1,0,0,11,3,15,0,0,0,37,9,8,1,10,10,2,21,1,0,3,29,0,19,24,5,4,0,2,1,0,0,0,0,8,0,0,1,0
2017-07-11,0,7,0,0,1,0,14,0,0,0,0,0,1,0,4,8,1,48,1,0,0,38,12,12,0,13,13,0,40,8,0,1,34,0,14,26,7,0,6,0,1,0,0,0,1,8,0,0,0,0
2017-07-12,0,9,0,1,1,0,17,0,0,0,0,0,0,0,0,13,3,13,0,0,0,20,17,15,0,19,19,0,29,3,0,1,40,0,8,14,8,1,0,2,1,2,0,0,0,3,0,0,2,0
2017-07-13,0,17,0,0,2,0,21,0,0,0,0,0,1,0,0,1,9,12,0,0,0,26,8,8,0,22,22,0,40,0,0,0,53,0,3,13,13,0,0,2,1,0,0,1,0,7,0,1,0,0
2017-07-14,0,8,0,0,3,0,17,0,0,0,1,0,0,4,4,11,1,19,0,0,0,16,2,2,0,0,0,0,24,0,0,1,36,0,1,13,5,0,1,0,1,0,0,0,5,3,0,0,0,0
2017-07-15,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2017-07-16,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,21,0,0,0,1,13,13,0,1,1,0,8,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
2017-07-17,0,9,0,0,1,3,18,0,0,0,1,0,0,2,4,2,1,20,0,0,0,35,5,5,0,24,24,0,19,0,0,2,43,0,14,21,17,0,4,1,5,0,0,0,0,9,0,0,0,0
2017-07-18,0,7,0,0,3,8,13,0,1,1,1,0,0,0,2,3,2,19,12,0,0,15,9,9,3,14,14,0,37,0,0,1,37,0,5,16,18,0,0,6,4,0,0,3,2,9,0,4,1,0
2017-07-19,0,23,0,0,0,3,11,0,0,4,0,0,2,6,7,2,7,16,5,0,0,35,15,15,0,17,17,0,32,2,0,2,46,0,16,20,9,2,0,0,16,0,0,0,5,11,0,11,0,0
2017-07-20,1,14,0,0,1,1,32,0,0,4,0,0,0,2,2,1,8,28,0,0,0,39,31,31,0,13,13,0,46,5,4,5,43,0,27,24,2,0,1,4,14,0,1,5,6,3,0,0,0,0
2017-07-21,0,8,0,1,1,0,17,0,0,6,0,0,1,0,0,2,3,5,0,0,0,21,8,8,1,12,12,0,29,2,0,0,41,1,8,16,5,0,1,0,2,0,2,0,0,6,0,0,0,0
2017-07-22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2017-07-23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,10,0,0,0,1,10,10,0,0,0,0,7,0,0,0,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-24,0,17,0,0,3,0,29,0,0,0,0,0,1,0,2,6,5,14,0,0,0,27,13,13,2,39,39,0,29,0,0,0,43,0,6,10,5,1,0,1,6,1,0,2,0,0,0,1,1,0
2017-07-25,0,20,2,1,6,0,29,0,0,0,8,0,3,4,10,8,8,23,0,0,2,38,16,13,0,39,39,1,41,0,0,3,46,0,12,24,5,0,1,0,3,0,0,0,4,6,4,0,2,0
2017-07-26,0,21,0,0,5,2,21,0,0,2,0,0,0,1,1,14,4,31,0,0,3,36,17,17,7,9,9,0,35,0,0,0,55,0,2,19,7,0,3,6,1,1,0,0,4,3,0,5,1,0
2017-07-27,0,23,1,4,5,2,36,0,0,6,1,0,5,4,10,3,10,24,0,0,0,46,16,15,0,16,16,0,37,2,0,0,55,0,11,27,10,0,1,8,3,5,3,17,4,8,0,0,0,2
2017-07-28,0,11,0,2,3,2,32,0,0,5,0,0,0,4,3,1,7,11,3,0,0,29,6,6,5,17,17,0,39,2,0,0,57,2,3,23,11,2,0,0,1,0,2,16,2,6,0,0,0,0
2017-07-29,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,1,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2017-07-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,11,7,7,0,0,0,0,5,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-31,1,25,0,0,6,0,17,0,0,1,1,0,0,20,8,1,6,20,0,0,4,26,11,11,2,19,19,0,27,0,0,4,43,0,5,18,12,1,0,0,2,0,4,4,7,17,0,0,0,0
2017-08-01,1,28,0,1,1,0,15,1,0,2,0,0,5,3,3,14,11,22,3,0,0,18,3,3,0,6,6,2,36,0,0,0,43,0,3,29,2,0,1,2,0,0,1,0,2,9,0,1,0,0
